Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|209586185|gb|ACI64870.1|,gi|224005004|ref|XP_002296153.1|","cell division control protein, cdc2, cyclin-dependent kinase, cdk1, p34, partial [Thalassiosira pseudonana CCMP1335]",14,16,15,12,10,9,8,14,13,0.000198,0.000229,0.000205,0.000218,0.000189,0.000162,0.000115,0.000198,0.000195
"gi|220968637|gb|EED86983.1|,gi|224014238|ref|XP_002296782.1|","aminopeptidase aminopeptidase-like protein, partial [Thalassiosira pseudonana CCMP1335]",22,9,11,7,9,15,11,11,16,0.000104,4.3e-05,5.02e-05,4.23e-05,5.67e-05,9.03e-05,5.29e-05,5.2e-05,7.99e-05
"gi|220970859|gb|EED89195.1|,gi|224009001|ref|XP_002293459.1|",multispanning membrane protein [Thalassiosira pseudonana CCMP1335],20,18,22,8,7,4,9,11,12,0.000129,0.000118,0.000138,6.64e-05,6.05e-05,3.31e-05,5.94e-05,7.14e-05,8.23e-05
"gi|220975845|gb|EED94173.1|,gi|223998128|ref|XP_002288737.1|",predicted protein [Thalassiosira pseudonana CCMP1335],11,12,10,15,12,11,12,12,16,7.58e-05,8.38e-05,6.68e-05,0.000133,0.000111,9.7e-05,8.44e-05,8.3e-05,0.000117
"gi|220976430|gb|EED94757.1|,gi|223995261|ref|XP_002287314.1|",predicted protein [Thalassiosira pseudonana CCMP1335],13,19,17,7,6,14,11,12,12,0.000155,0.00023,0.000197,0.000107,9.57e-05,0.000214,0.000134,0.000144,0.000152
"gi|220978352|gb|EED96678.1|,gi|223994707|ref|XP_002287037.1|",predicted protein [Thalassiosira pseudonana CCMP1335],11,8,9,19,15,15,10,13,11,0.000197,0.000145,0.000156,0.000436,0.000358,0.000343,0.000182,0.000233,0.000208
"gi|223999747|ref|XP_002289546.1|,gi|220974754|gb|EED93083.1|",predicted protein [Thalassiosira pseudonana CCMP1335],19,14,13,8,9,11,12,12,13,0.00046,0.000344,0.000305,0.000249,0.000291,0.00034,0.000296,0.000292,0.000334
"gi|224002162|ref|XP_002290753.1|,gi|220974175|gb|EED92505.1|","v-type h-atpase subunit, partial [Thalassiosira pseudonana CCMP1335]",11,15,17,11,15,9,13,13,7,0.000184,0.000254,0.000276,0.000236,0.000335,0.000192,0.000222,0.000218,0.000124
"gi|224004450|ref|XP_002295876.1|,gi|209585908|gb|ACI64593.1|",predicted protein [Thalassiosira pseudonana CCMP1335],16,19,13,10,10,11,10,10,12,0.000114,0.000138,9e-05,9.17e-05,9.54e-05,0.0001,7.29e-05,7.17e-05,9.09e-05
"gi|224012625|ref|XP_002294965.1|,gi|220969404|gb|EED87745.1|",predicted protein [Thalassiosira pseudonana CCMP1335],21,18,15,7,8,7,12,12,11,0.000341,0.000297,0.000237,0.000146,0.000174,0.000146,0.000199,0.000196,0.00019
"gi|220971767|gb|EED90101.1|,gi|224007891|ref|XP_002292905.1|",predicted protein [Thalassiosira pseudonana CCMP1335],13,11,9,14,15,15,9,9,15,0.000123,0.000106,8.26e-05,0.00017,0.00019,0.000182,8.69e-05,8.55e-05,0.000151
"gi|220973177|gb|EED91508.1|,gi|224003459|ref|XP_002291401.1|","t-complex protein 1 ETA subunit, partial [Thalassiosira pseudonana CCMP1335]",12,9,15,16,12,10,12,12,12,9.43e-05,7.17e-05,0.000114,0.000161,0.000126,0.0001,9.62e-05,9.46e-05,0.0001
