Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|223997298|ref|XP_002288322.1|,gi|220975430|gb|EED93758.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,1,1,3,0,1,0,0.0,0.0,3.36e-05,4.46e-05,4.64e-05,0.000133,0.0,3.48e-05,0.0
"gi|223997460|ref|XP_002288403.1|,gi|220975511|gb|EED93839.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,1,2,0,1,0,1.51e-05,0.0,0.0,3.87e-05,2.02e-05,3.86e-05,0.0,1.51e-05,0.0
"gi|223997484|ref|XP_002288415.1|,gi|220975523|gb|EED93851.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,3,0,1,0,0,7.94e-06,0.0,0.0,2.04e-05,3.19e-05,0.0,8.11e-06,0.0,0.0
"gi|223997886|ref|XP_002288616.1|,gi|220975724|gb|EED94052.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,2,0,3,1,0,0,0,3.89e-05,0.0,7.55e-05,0.0,0.000156,4.98e-05,0.0,0.0,0.0
"gi|223998016|ref|XP_002288681.1|,gi|220975789|gb|EED94117.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,1,2,1,0,0,2,0.0,0.0,3.78e-06,5e-06,1.04e-05,4.98e-06,0.0,0.0,8.26e-06
"gi|223998244|ref|XP_002288795.1|,gi|220975903|gb|EED94231.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,0,1,1,1,1,1,1,2.13e-05,0.0,0.0,2.74e-05,2.85e-05,2.73e-05,2.18e-05,2.14e-05,2.26e-05
"gi|223998484|ref|XP_002288915.1|,gi|220976023|gb|EED94351.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,1,0,0,0,2,2,0,2.6e-05,0.0,1.26e-05,0.0,0.0,0.0,2.66e-05,2.61e-05,0.0
"gi|223998604|ref|XP_002288975.1|,gi|220976083|gb|EED94411.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,2,1,0,2,1,0.0,0.0,0.0,1.02e-05,2.13e-05,1.02e-05,0.0,1.6e-05,8.46e-06
"gi|223998772|ref|XP_002289059.1|,gi|220976167|gb|EED94495.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,2,4,0,0,0,0.0,1.64e-06,0.0,0.0,4.33e-06,8.28e-06,0.0,0.0,0.0
"gi|223998838|ref|XP_002289092.1|,gi|220976200|gb|EED94528.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,2,1,0,0,0,0,1,1,7.18e-05,7.28e-05,3.48e-05,0.0,0.0,0.0,0.0,3.6e-05,3.81e-05
"gi|224000005|ref|XP_002289675.1|,gi|220974883|gb|EED93212.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",2,2,1,0,0,1,0,0,1,7.18e-05,7.28e-05,3.48e-05,0.0,0.0,4.59e-05,0.0,0.0,3.81e-05
"gi|224000199|ref|XP_002289772.1|,gi|220974980|gb|EED93309.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,1,1,1,1,0,1,1,0.0,4.42e-06,4.23e-06,5.6e-06,5.83e-06,5.58e-06,0.0,4.38e-06,4.63e-06
"gi|224000243|ref|XP_002289794.1|,gi|220975002|gb|EED93331.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,1,1,3,0,0,1,0,0.0,2.32e-06,2.22e-06,2.94e-06,9.17e-06,0.0,0.0,2.3e-06,0.0
"gi|224000449|ref|XP_002289897.1|,gi|220975105|gb|EED93434.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,0,0,1,1,1,1,2.93e-05,2.97e-05,2.84e-05,0.0,0.0,3.75e-05,2.99e-05,2.94e-05,3.11e-05
"gi|224000455|ref|XP_002289900.1|,gi|220975108|gb|EED93437.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,0,1,2,1,1,0,0,7.61e-06,0.0,0.0,4.89e-06,1.02e-05,4.87e-06,3.88e-06,0.0,0.0
"gi|224000726|ref|XP_002290035.1|,gi|220973457|gb|EED91787.1|","inositol 1-monophosphatase-like protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,3,1,0,1,1,1,0.0,0.0,0.0,5.9e-05,2.05e-05,0.0,1.56e-05,1.54e-05,1.62e-05
"gi|220967872|gb|EED86243.1|,gi|224015617|ref|XP_002297459.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,3,1,0,1,1,1,0.0,0.0,0.0,7.86e-05,2.73e-05,0.0,2.08e-05,2.05e-05,2.16e-05
"gi|224001118|ref|XP_002290231.1|,gi|220973653|gb|EED91983.1|","thiamin pyrophosphokinase, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,2,2,0,1,1,1,0.0,0.0,0.0,4.65e-05,4.84e-05,0.0,1.85e-05,1.82e-05,1.92e-05
"gi|224002020|ref|XP_002290682.1|,gi|220974104|gb|EED92434.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,1,0,3,1,1,0,0,6.19e-06,0.0,6.01e-06,0.0,2.48e-05,7.92e-06,6.32e-06,0.0,0.0
"gi|224002579|ref|XP_002290961.1|,gi|220972737|gb|EED91068.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,2,0,1,0,1,0,0,1,2.49e-05,2.53e-05,0.0,1.6e-05,0.0,1.59e-05,0.0,0.0,1.32e-05
"gi|224003073|ref|XP_002291208.1|,gi|220972984|gb|EED91315.1|","U2 snRNP auxillary splicing factor, U2AF subunit, partial [Thalassiosira pseudonana CCMP1335]",0,0,1,2,3,1,0,0,0,0.0,0.0,1.15e-05,3.04e-05,4.74e-05,1.51e-05,0.0,0.0,0.0
"gi|224003155|ref|XP_002291249.1|,gi|220973025|gb|EED91356.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,2,1,1,2,0,0.0,0.0,0.0,2.22e-05,4.62e-05,2.21e-05,1.76e-05,3.47e-05,0.0
"gi|224003287|ref|XP_002291315.1|,gi|220973091|gb|EED91422.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,2,1,0,0,1,0,2,0,3.31e-06,6.71e-06,3.21e-06,0.0,0.0,4.24e-06,0.0,6.65e-06,0.0
"gi|224003473|ref|XP_002291408.1|,gi|220973184|gb|EED91515.1|",phosphoglycerate kinase [Thalassiosira pseudonana CCMP1335],2,0,0,1,1,2,1,0,0,1.64e-05,0.0,0.0,1.05e-05,1.1e-05,2.1e-05,8.38e-06,0.0,0.0
"gi|224003631|ref|XP_002291487.1|,gi|220973263|gb|EED91594.1|","hypothetical protein THAPSDRAFT_269100, partial [Thalassiosira pseudonana CCMP1335]",0,1,0,1,1,0,1,2,1,0.0,1.45e-05,0.0,1.84e-05,1.91e-05,0.0,1.46e-05,2.87e-05,1.52e-05
"gi|224003897|ref|XP_002291620.1|,gi|220973396|gb|EED91727.1|","ras-related protein, partial [Thalassiosira pseudonana CCMP1335]",2,1,0,0,1,0,1,1,1,1.38e-05,6.99e-06,0.0,0.0,9.21e-06,0.0,7.03e-06,6.92e-06,7.31e-06
"gi|224004504|ref|XP_002295903.1|,gi|209585935|gb|ACI64620.1|","glycerol kinase, partial [Thalassiosira pseudonana CCMP1335]",0,1,0,1,1,0,1,1,2,0.0,7.3e-06,0.0,9.25e-06,9.63e-06,0.0,7.35e-06,7.23e-06,1.53e-05
"gi|224004572|ref|XP_002295937.1|,gi|209585969|gb|ACI64654.1|",protein kinase [Thalassiosira pseudonana CCMP1335],2,0,2,1,1,0,0,0,1,1.51e-05,0.0,1.47e-05,9.7e-06,1.01e-05,0.0,0.0,0.0,8.01e-06
"gi|209583517|gb|ACI64203.1|,gi|224011423|ref|XP_002295486.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,2,1,1,0,0,0,1,1.19e-05,0.0,1.15e-05,7.64e-06,7.95e-06,0.0,0.0,0.0,6.31e-06
"gi|224011431|ref|XP_002295490.1|,gi|209583521|gb|ACI64207.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,2,1,1,0,0,0,1,1e-05,0.0,9.74e-06,6.45e-06,6.71e-06,0.0,0.0,0.0,5.33e-06
"gi|224004586|ref|XP_002295944.1|,gi|209585976|gb|ACI64661.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",2,0,2,1,1,0,0,0,1,6.03e-05,0.0,5.85e-05,3.87e-05,4.03e-05,0.0,0.0,0.0,3.2e-05
"gi|223993283|ref|XP_002286325.1|,gi|220977640|gb|EED95966.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,2,1,1,0,0,0,1,1.73e-05,0.0,1.68e-05,1.11e-05,1.16e-05,0.0,0.0,0.0,9.18e-06
"gi|224004788|ref|XP_002296045.1|,gi|209586077|gb|ACI64762.1|",predicted protein [Thalassiosira pseudonana CCMP1335],3,2,1,0,0,1,0,0,0,6.94e-05,4.69e-05,2.24e-05,0.0,0.0,2.96e-05,0.0,0.0,0.0
"gi|224005116|ref|XP_002296209.1|,gi|209586241|gb|ACI64926.1|","aldo/keto reductase, partial [Thalassiosira pseudonana CCMP1335]",2,2,1,0,0,0,0,2,0,2.32e-05,2.35e-05,1.12e-05,0.0,0.0,0.0,0.0,2.33e-05,0.0
"gi|224005212|ref|XP_002296257.1|,gi|209586289|gb|ACI64974.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,2,2,0,0,1,2,0,0,0.0,1.57e-05,1.5e-05,0.0,0.0,9.9e-06,1.58e-05,0.0,0.0
"gi|224006165|ref|XP_002292043.1|,gi|220972562|gb|EED90894.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,1,0,0,1,1,1,2.15e-05,2.18e-05,2.08e-05,2.76e-05,0.0,0.0,2.19e-05,2.15e-05,2.28e-05
"gi|224006255|ref|XP_002292088.1|,gi|220972607|gb|EED90939.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,0,0,0,1,2,1,1.1e-05,1.12e-05,1.07e-05,0.0,0.0,0.0,1.12e-05,2.21e-05,1.17e-05
"gi|224006391|ref|XP_002292156.1|,gi|220972675|gb|EED91007.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,2,1,2,0,1,1,0.0,0.0,0.0,2.49e-05,1.29e-05,2.48e-05,0.0,9.72e-06,1.03e-05
"gi|224006676|ref|XP_002292298.1|,gi|220971940|gb|EED90273.1|",EF hand-containing protein [Thalassiosira pseudonana CCMP1335],0,1,0,1,4,0,0,1,0,0.0,6.66e-06,0.0,8.43e-06,3.51e-05,0.0,0.0,6.59e-06,0.0
"gi|224007156|ref|XP_002292538.1|,gi|220972180|gb|EED90513.1|","hypothetical protein THAPSDRAFT_36202, partial [Thalassiosira pseudonana CCMP1335]",3,1,3,0,0,0,0,0,0,4.11e-05,1.39e-05,3.98e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224015899|ref|XP_002297594.1|,gi|220967733|gb|EED86116.1|",hypothetical protein THAPSDRAFT_bd1465 [Thalassiosira pseudonana CCMP1335],3,1,3,0,0,0,0,0,0,3.8e-05,1.28e-05,3.68e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224007309|ref|XP_002292614.1|,gi|220971476|gb|EED89810.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,0,2,2,1,0,0,0,4.79e-06,4.86e-06,0.0,1.23e-05,1.28e-05,6.13e-06,0.0,0.0,0.0
"gi|224008174|ref|XP_002293046.1|,gi|220971172|gb|EED89507.1|",hypothetical protein THAPSDRAFT_9135 [Thalassiosira pseudonana CCMP1335],0,2,0,1,0,2,0,1,1,0.0,2.62e-05,0.0,1.66e-05,0.0,3.31e-05,0.0,1.3e-05,1.37e-05
"gi|224008514|ref|XP_002293216.1|,gi|220971342|gb|EED89677.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,3,0,0,0,1,0,1,1.94e-05,1.96e-05,5.63e-05,0.0,0.0,0.0,1.98e-05,0.0,2.05e-05
"gi|224008927|ref|XP_002293422.1|,gi|220970822|gb|EED89158.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,0,0,0,2,3,1,0.0,0.0,5.12e-06,0.0,0.0,0.0,1.08e-05,1.59e-05,5.6e-06
"gi|224009532|ref|XP_002293724.1|,gi|220970396|gb|EED88733.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,1,2,1,0,0,2,0.0,2.85e-06,0.0,3.61e-06,7.51e-06,3.59e-06,0.0,0.0,5.96e-06
"gi|224010159|ref|XP_002294037.1|,gi|220970054|gb|EED88392.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,2,2,0,0,1,0,1,1,0.0,4.08e-05,3.9e-05,0.0,0.0,2.57e-05,0.0,2.02e-05,2.13e-05
"gi|224010201|ref|XP_002294058.1|,gi|220970075|gb|EED88413.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,1,1,0,0,1,1,2,1.34e-05,0.0,1.3e-05,1.72e-05,0.0,0.0,1.37e-05,1.35e-05,2.85e-05
"gi|224010381|ref|XP_002294148.1|,gi|220970165|gb|EED88503.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,1,2,1,0,0,2.12e-06,0.0,0.0,5.44e-06,2.83e-06,5.42e-06,2.16e-06,0.0,0.0
"gi|224011056|ref|XP_002294485.1|,gi|220969980|gb|EED88319.1|",hypothetical protein THAPSDRAFT_42660 [Thalassiosira pseudonana CCMP1335],1,0,1,1,1,3,0,0,0,1.22e-05,0.0,1.18e-05,1.56e-05,1.63e-05,4.67e-05,0.0,0.0,0.0
"gi|224011223|ref|XP_002295386.1|,gi|209583417|gb|ACI64103.1|",aldo-keto oxidoreductase [Thalassiosira pseudonana CCMP1335],1,0,0,1,2,1,0,1,1,1.21e-05,0.0,0.0,1.55e-05,3.24e-05,1.55e-05,0.0,1.21e-05,1.28e-05
"gi|224011655|ref|XP_002295602.1|,gi|209583633|gb|ACI64319.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,2,2,2,0,1,0,0.0,0.0,0.0,1.33e-05,1.39e-05,1.33e-05,0.0,5.2e-06,0.0
"gi|224011904|ref|XP_002294605.1|,gi|220969625|gb|EED87965.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,3,2,1,1.44e-05,0.0,0.0,0.0,0.0,0.0,4.39e-05,2.88e-05,1.52e-05
"gi|224011976|ref|XP_002294641.1|,gi|220969661|gb|EED88001.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,1,1,0,0,0,1,2,1.17e-05,0.0,5.68e-06,7.52e-06,0.0,0.0,0.0,5.88e-06,1.24e-05
"gi|224012793|ref|XP_002295049.1|,gi|220969488|gb|EED87829.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,1,1,1,2,0,0,1,0.0,1.05e-05,1e-05,1.33e-05,1.38e-05,2.65e-05,0.0,0.0,1.1e-05
"gi|224012960|ref|XP_002295132.1|,gi|220969094|gb|EED87436.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,1,1,1,0,0,1,1,7.59e-06,0.0,3.68e-06,4.87e-06,5.07e-06,0.0,0.0,3.81e-06,4.02e-06
"gi|224013922|ref|XP_002296625.1|,gi|220968977|gb|EED87321.1|",predicted protein [Thalassiosira pseudonana CCMP1335],4,1,2,0,0,0,0,0,0,6.12e-05,1.55e-05,2.97e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224014921|ref|XP_002297122.1|,gi|220968241|gb|EED86590.1|",fucoxanthin chl a/c light-harvesting protein [Thalassiosira pseudonana CCMP1335],3,2,1,0,0,0,0,1,0,5.63e-05,3.8e-05,1.82e-05,0.0,0.0,0.0,0.0,1.88e-05,0.0
"gi|224015320|ref|XP_002297317.1|,gi|220968030|gb|EED86388.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,3,0,1,0,1,2,0,0,0.0,4.32e-05,0.0,1.82e-05,0.0,1.82e-05,2.9e-05,0.0,0.0
"gi|224015356|ref|XP_002297334.1|,gi|220968002|gb|EED86362.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,3,0,1,0,1,2,0,0,0.0,4.81e-05,0.0,2.03e-05,0.0,2.02e-05,3.23e-05,0.0,0.0
"gi|224015415|ref|XP_002297362.1|,gi|220967962|gb|EED86325.1|",predicted protein [Thalassiosira pseudonana CCMP1335],3,3,0,0,0,1,0,0,0,2.56e-05,2.6e-05,0.0,0.0,0.0,1.09e-05,0.0,0.0,0.0
"AAZ24823.1,WP_011041691.1","putative surface protein [Colwellia psychrerythraea 34H],surface protein [Colwellia psychrerythraea]",1,1,1,0,1,0,2,0,0,6.41e-06,6.5e-06,6.22e-06,0.0,8.57e-06,0.0,1.31e-05,0.0,0.0
"AAZ27953.1,WP_011043690.1","isocitrate dehydrogenase, NADP-dependent [Colwellia psychrerythraea 34H],NADP-dependent isocitrate dehydrogenase [Colwellia psychrerythraea]",0,1,1,0,1,1,1,1,0,0.0,5.68e-06,5.43e-06,0.0,7.49e-06,7.17e-06,5.72e-06,5.62e-06,0.0
"AAZ28077.1,WP_011044713.1","putative lipoprotein [Colwellia psychrerythraea 34H],alpha-2-macroglobulin family protein [Colwellia psychrerythraea]",1,0,0,2,0,1,2,0,0,2.5e-06,0.0,0.0,6.42e-06,0.0,3.2e-06,5.1e-06,0.0,0.0
"gi|209585698|gb|ACI64383.1|,gi|224004030|ref|XP_002295666.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,1,4,0,0,0,0,0.0,1.29e-06,0.0,1.63e-06,6.78e-06,0.0,0.0,0.0,0.0
"gi|209585901|gb|ACI64586.1|,gi|224004436|ref|XP_002295869.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,1,0,0,0,1,1,1,0,3.51e-06,1.78e-06,0.0,0.0,0.0,2.24e-06,1.79e-06,1.76e-06,0.0
"gi|209585909|gb|ACI64594.1|,gi|224004452|ref|XP_002295877.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",2,1,1,0,0,0,1,1,0,4.96e-05,2.51e-05,2.4e-05,0.0,0.0,0.0,2.53e-05,2.49e-05,0.0
"gi|220968084|gb|EED86440.1|,gi|224015264|ref|XP_002297290.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,2,1,3,0,0,0,0.0,0.0,0.0,1.68e-05,8.74e-06,2.51e-05,0.0,0.0,0.0
"gi|220968103|gb|EED86456.1|,gi|224015171|ref|XP_002297245.1|,gi|220968099|gb|EED86452.1|,gi|224015179|ref|XP_002297249.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,2,0,0,0,1,1,2,0.0,0.0,6.07e-05,0.0,0.0,0.0,3.19e-05,3.14e-05,6.64e-05
"gi|220968114|gb|EED86465.1|,gi|224015149|ref|XP_002297235.1|",h-atpase subunit alpha [Thalassiosira pseudonana CCMP1335],0,1,1,0,0,0,3,0,1,0.0,1.31e-05,1.25e-05,0.0,0.0,0.0,3.96e-05,0.0,1.37e-05
"gi|220968449|gb|EED86797.1|,gi|224014814|ref|XP_002297069.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,1,1,0,0,0,2,0,1,5.78e-05,5.86e-05,5.61e-05,0.0,0.0,0.0,0.000118,0.0,6.13e-05
"gi|220968467|gb|EED86815.1|,gi|224014850|ref|XP_002297087.1|",vacuolar protein sorting-associated protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,0,0,1,1,1,9.84e-06,0.0,0.0,2.53e-05,0.0,0.0,1e-05,9.88e-06,1.04e-05
"gi|220971260|gb|EED89595.1|,gi|224008350|ref|XP_002293134.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,0,0,1,1,1,9.84e-06,0.0,0.0,2.53e-05,0.0,0.0,1e-05,9.88e-06,1.04e-05
"gi|220968614|gb|EED86960.1|,gi|224014192|ref|XP_002296759.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,2,0,1,0,2,0,0,0.0,5.11e-07,9.78e-07,0.0,6.74e-07,0.0,1.03e-06,0.0,0.0
"gi|220968744|gb|EED87088.1|,gi|224013456|ref|XP_002296392.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,2,1,2,0,1,0,0.0,0.0,0.0,4.55e-05,2.37e-05,4.53e-05,0.0,1.78e-05,0.0
"gi|220968986|gb|EED87330.1|,gi|220969408|gb|EED87749.1|,gi|224013940|ref|XP_002296634.1|,gi|224012633|ref|XP_002294969.1|","pyruvate formate-lyase, partial [Thalassiosira pseudonana CCMP1335],predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,1,0,0,0,1,0,2,1,5.63e-06,5.71e-06,0.0,0.0,0.0,7.2e-06,0.0,1.13e-05,5.97e-06
"gi|220969020|gb|EED87363.1|,gi|224013291|ref|XP_002295297.1|",predicted protein [Thalassiosira pseudonana CCMP1335],3,0,0,0,0,0,1,1,1,2.77e-05,0.0,0.0,0.0,0.0,0.0,9.42e-06,9.27e-06,9.79e-06
"gi|220969144|gb|EED87486.1|,gi|224013060|ref|XP_002295182.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,1,0,0,3,0,0,0,0,2.41e-05,1.22e-05,0.0,0.0,4.84e-05,0.0,0.0,0.0,0.0
"gi|220969179|gb|EED87521.1|,gi|224013130|ref|XP_002295217.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,2,0,0,1,0,2,0,0.0,5.5e-06,1.05e-05,0.0,0.0,6.94e-06,0.0,1.09e-05,0.0
"gi|220969207|gb|EED87549.1|,gi|224013186|ref|XP_002295245.1|",hypothetical protein THAPSDRAFT_43128 [Thalassiosira pseudonana CCMP1335],0,2,0,1,0,0,1,1,1,0.0,2.37e-05,0.0,1.5e-05,0.0,0.0,1.19e-05,1.17e-05,1.24e-05
"gi|220969273|gb|EED87614.1|,gi|224012363|ref|XP_002294834.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,2,2,0,0,0,0,1,0,4.89e-06,9.92e-06,9.49e-06,0.0,0.0,0.0,0.0,4.91e-06,0.0
"gi|220969275|gb|EED87616.1|,gi|224012367|ref|XP_002294836.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,3,1,1,0.0,0.0,0.0,3.2e-05,0.0,0.0,7.63e-05,2.5e-05,2.64e-05
"gi|220969302|gb|EED87643.1|,gi|224012421|ref|XP_002294863.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,2,0,0,0,1,8.69e-06,0.0,0.0,2.23e-05,2.32e-05,0.0,0.0,0.0,9.22e-06
"gi|220969393|gb|EED87734.1|,gi|224012603|ref|XP_002294954.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,0,1,0,0,2,0,1,3.2e-05,3.25e-05,0.0,4.11e-05,0.0,0.0,6.54e-05,0.0,3.4e-05
"gi|220969660|gb|EED88000.1|,gi|224011974|ref|XP_002294640.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,0,1,0,1,2,0,0,1.3e-05,1.31e-05,0.0,1.67e-05,0.0,1.66e-05,2.65e-05,0.0,0.0
"gi|220969773|gb|EED88113.1|,gi|224012200|ref|XP_002294753.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,0,1,2,1,0,0,0,2.06e-05,2.09e-05,0.0,2.65e-05,5.51e-05,2.64e-05,0.0,0.0,0.0
"gi|220969979|gb|EED88318.1|,gi|224011054|ref|XP_002294484.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",3,0,2,0,0,0,0,1,0,0.000139,0.0,8.97e-05,0.0,0.0,0.0,0.0,4.64e-05,0.0
"gi|220970555|gb|EED88892.1|,gi|224009850|ref|XP_002293883.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,2,1,0,1,0,1,0.0,0.0,7.89e-06,2.09e-05,1.09e-05,0.0,8.3e-06,0.0,8.62e-06
"gi|220970632|gb|EED88969.1|,gi|224010004|ref|XP_002293960.1|",hypothetical protein THAPSDRAFT_269777 [Thalassiosira pseudonana CCMP1335],1,1,1,1,0,0,0,1,1,6.32e-06,6.4e-06,6.13e-06,8.11e-06,0.0,0.0,0.0,6.34e-06,6.7e-06
"gi|220970895|gb|EED89231.1|,gi|224009073|ref|XP_002293495.1|",replication factor C 36 kDa subunit [Thalassiosira pseudonana CCMP1335],0,1,1,0,0,0,1,1,2,0.0,1.31e-05,1.26e-05,0.0,0.0,0.0,1.32e-05,1.3e-05,2.75e-05
"gi|220971311|gb|EED89646.1|,gi|224008452|ref|XP_002293185.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,0,0,1,1,1,0,1,5.87e-06,5.95e-06,0.0,0.0,7.85e-06,7.51e-06,5.99e-06,0.0,6.23e-06
"gi|220971697|gb|EED90031.1|,gi|224007751|ref|XP_002292835.1|",predicted protein [Thalassiosira pseudonana CCMP1335],3,0,1,0,1,1,0,0,0,8.55e-06,0.0,2.76e-06,0.0,3.81e-06,3.64e-06,0.0,0.0,0.0
"gi|220971886|gb|EED90219.1|,gi|224006568|ref|XP_002292244.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,2,0,0,0,1,1,0,2.48e-05,0.0,2.4e-05,0.0,0.0,0.0,1.26e-05,1.24e-05,0.0
"gi|220971972|gb|EED90305.1|,gi|224006740|ref|XP_002292330.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,3,1,2,0,0,0,0.0,0.0,0.0,5.49e-05,1.91e-05,3.65e-05,0.0,0.0,0.0
"gi|220972040|gb|EED90373.1|,gi|224006876|ref|XP_002292398.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,3,2,0,0,0,2.02e-05,0.0,0.0,0.0,8.1e-05,5.17e-05,0.0,0.0,0.0
"gi|220972559|gb|EED90891.1|,gi|224006159|ref|XP_002292040.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,1,1,1,0,0,2,0.0,0.0,3.95e-06,5.24e-06,5.45e-06,5.21e-06,0.0,0.0,8.65e-06
"gi|220973164|gb|EED91495.1|,gi|224003433|ref|XP_002291388.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,1,0,1,1,1,0,1,0,1.12e-05,1.13e-05,0.0,1.43e-05,1.49e-05,1.43e-05,0.0,1.12e-05,0.0
"gi|220973339|gb|EED91670.1|,gi|224003783|ref|XP_002291563.1|","hypothetical protein THAPSDRAFT_35049, partial [Thalassiosira pseudonana CCMP1335]",2,1,0,0,0,0,1,0,2,2.19e-05,1.11e-05,0.0,0.0,0.0,0.0,1.12e-05,0.0,2.32e-05
"gi|220973365|gb|EED91696.1|,gi|224003835|ref|XP_002291589.1|",probable mitochondrial processing peptidase [Thalassiosira pseudonana CCMP1335],1,1,0,2,1,1,0,0,0,8.65e-06,8.77e-06,0.0,2.22e-05,1.16e-05,1.11e-05,0.0,0.0,0.0
"gi|220973493|gb|EED91823.1|,gi|224000798|ref|XP_002290071.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,3,2,0,0.0,0.0,0.0,0.0,5.25e-05,0.0,0.00012,7.89e-05,0.0
