Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
gi|224010373|ref|XP_002294144.1|,gi|220970161|gb|EED88499.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.231	21	5.05e-4	4	4	754
gi|224012625|ref|XP_002294965.1|,gi|220969404|gb|EED87745.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.402	21	3.41e-4	11	11	755
gi|224015074|ref|XP_002297198.1|,gi|220968173|gb|EED86523.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.329	21	3.78e-4	6	6	756
gi|224015653|ref|XP_002297476.1|,gi|220967842|gb|EED86215.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.313	21	3.38e-4	9	9	757
gi|220968325|gb|EED86673.1|,gi|224014566|ref|XP_002296945.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.210	20	6.03e-4	3	3	758
gi|220970859|gb|EED89195.1|,gi|224009001|ref|XP_002293459.1|	multispanning membrane protein [Thalassiosira pseudonana CCMP1335]	0.157	20	1.29e-4	10	10	759
gi|220972636|gb|EED90968.1|,gi|224006313|ref|XP_002292117.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.313	20	1.25e-4	15	14	760
gi|220973806|gb|EED92136.1|,gi|224001424|ref|XP_002290384.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.447	20	5.48e-4	5	5	761
gi|220975375|gb|EED93703.1|,gi|223997188|ref|XP_002288267.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.245	20	1.65e-4	10	10	762
gi|220976737|gb|EED95064.1|,gi|223995895|ref|XP_002287621.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.559	20	7.06e-4	6	6	763
gi|220978192|gb|EED96518.1|,gi|223994387|ref|XP_002286877.1|	t-complex protein 1 gamma subunit [Thalassiosira pseudonana CCMP1335]	0.229	20	1.49e-4	12	12	764
gi|220978227|gb|EED96553.1|,gi|223994457|ref|XP_002286912.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.307	20	1.69e-4	12	12	765
gi|223993511|ref|XP_002286439.1|,gi|220977754|gb|EED96080.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.217	20	3.06e-4	6	6	766
gi|223994095|ref|XP_002286731.1|,gi|220978046|gb|EED96372.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.315	20	2.85e-4	8	8	767
gi|223996257|ref|XP_002287802.1|,gi|220976918|gb|EED95245.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.369	20	5.59e-4	6	6	768
gi|223997866|ref|XP_002288606.1|,gi|220975714|gb|EED94042.1|	THAPSDRAFT_32704, partial [Thalassiosira pseudonana CCMP1335],Hypothetical protein THAPSDRAFT_32704, partial [Thalassiosira pseudonana CCMP1335]	0.403	20	2.82e-4	11	11	769
gi|224003841|ref|XP_002291592.1|,gi|220973368|gb|EED91699.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.335	20	2.99e-4	8	8	770
gi|224004214|ref|XP_002295758.1|,gi|209585790|gb|ACI64475.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.234	20	1.58e-4	11	11	771
gi|224006996|ref|XP_002292458.1|,gi|220972100|gb|EED90433.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.391	20	3.13e-4	9	9	772
gi|224008260|ref|XP_002293089.1|,gi|220971215|gb|EED89550.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.122	20	1.34e-4	7	1	773
gi|224009544|ref|XP_002293730.1|,gi|220970402|gb|EED88739.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.242	20	1.80e-4	8	8	774
gi|224010046|ref|XP_002293981.1|,gi|220970653|gb|EED88990.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.372	20	2.37e-4	10	10	775
gi|224010096|ref|XP_002294006.1|,gi|220970678|gb|EED89015.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.160	20	6.36e-4	5	0	776
gi|224012315|ref|XP_002294810.1|,gi|220969249|gb|EED87590.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.080	20	3.73e-5	15	0	777
gi|224013965|ref|XP_002296646.1|,gi|220968696|gb|EED87041.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.377	20	4.99e-4	6	6	778
gi|116739941|gb|ABK20811.1|,gi|125987738|sp|A0T0X6.1|RR19_THAPS,gi|2050584526|gb|QWM93067.1|,gi|118411194|ref|YP_874588.1|	30S ribosomal protein S19 (chloroplast) [Thalassiosira pseudonana],RecName: Full=Small ribosomal subunit protein uS19c; AltName: Full=30S ribosomal protein S19, chloroplastic,ribosomal protein S19 (chloroplast) [Thalassiosira pseudonana]	0.674	19	8.60e-4	6	6	779
gi|125987679|sp|A0T0Z2.1|RR13_THAPS,gi|2050584510|gb|QWM93051.1|,gi|116739957|gb|ABK20827.1|,gi|118411210|ref|YP_874604.1|	RecName: Full=Small ribosomal subunit protein uS13c; AltName: Full=30S ribosomal protein S13, chloroplastic,ribosomal protein S13 (chloroplast) [Thalassiosira pseudonana],30S ribosomal protein S13 (chloroplast) [Thalassiosira pseudonana]	0.545	19	6.43e-4	5	5	780
gi|209583506|gb|ACI64192.1|,gi|224011401|ref|XP_002295475.1|	valyl-tRNA synthetase [Thalassiosira pseudonana CCMP1335]	0.151	19	8.00e-5	11	11	781
gi|209585984|gb|ACI64669.1|,gi|224004602|ref|XP_002295952.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.574	19	4.21e-4	10	10	782
gi|220968219|gb|EED86568.1|,gi|224014877|ref|XP_002297100.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.239	19	1.56e-4	11	11	783
gi|220969414|gb|EED87755.1|,gi|224012645|ref|XP_002294975.1|	rab-type small G protein [Thalassiosira pseudonana CCMP1335]	0.324	19	3.71e-4	5	3	784
gi|220970480|gb|EED88817.1|,gi|224009700|ref|XP_002293808.1|	proteasome subunit alpha type 5 [Thalassiosira pseudonana CCMP1335]	0.340	19	3.24e-4	8	8	785
gi|220970754|gb|EED89090.1|,gi|224008791|ref|XP_002293354.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.131	19	8.05e-5	12	12	786
gi|220971495|gb|EED89829.1|,gi|224007347|ref|XP_002292633.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.296	19	1.76e-4	10	10	787
gi|220972918|gb|EED91249.1|,gi|224002941|ref|XP_002291142.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.207	19	1.54e-4	7	7	788
gi|220973322|gb|EED91653.1|,gi|224003749|ref|XP_002291546.1|	predicted protein, partial [Thalassiosira pseudonana CCMP1335]	0.260	19	6.04e-4	5	5	789
gi|220973693|gb|EED92023.1|,gi|224001198|ref|XP_002290271.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.299	19	5.77e-4	6	6	790
gi|220974926|gb|EED93255.1|,gi|224000091|ref|XP_002289718.1|	probable SOLUBLE pyridine nucleotide transhydrogenase [Thalassiosira pseudonana CCMP1335]	0.343	19	1.70e-4	11	11	791
gi|220975091|gb|EED93420.1|,gi|224000421|ref|XP_002289883.1|	predicted protein, partial [Thalassiosira pseudonana CCMP1335]	0.291	19	1.37e-4	11	11	792
gi|220975266|gb|EED93594.1|,gi|223996970|ref|XP_002288158.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.421	19	4.63e-4	7	7	793
gi|220975699|gb|EED94027.1|,gi|223997836|ref|XP_002288591.1|	eucarytic translation initiation factor 5A [Thalassiosira pseudonana CCMP1335]	0.239	19	4.97e-4	5	5	794
gi|220975811|gb|EED94139.1|,gi|223998060|ref|XP_002288703.1|	serine threonine protein phosphatase [Thalassiosira pseudonana CCMP1335]	0.306	19	2.52e-4	9	8	795
gi|220976293|gb|EED94620.1|,gi|223994987|ref|XP_002287177.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.182	19	1.70e-4	7	7	796
gi|220977017|gb|EED95344.1|,gi|223996455|ref|XP_002287901.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.271	19	3.15e-4	7	7	797
gi|220977724|gb|EED96050.1|,gi|223993451|ref|XP_002286409.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.256	19	1.25e-4	12	12	798
gi|220978271|gb|EED96597.1|,gi|223994545|ref|XP_002286956.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.331	19	3.04e-4	6	4	799
gi|223992525|ref|XP_002285946.1|,gi|220977261|gb|EED95587.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.364	19	1.75e-4	11	11	800
gi|223993685|ref|XP_002286526.1|,gi|220977841|gb|EED96167.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.439	19	2.82e-4	10	10	801
gi|223997004|ref|XP_002288175.1|,gi|220975283|gb|EED93611.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.203	19	3.15e-4	7	7	802
gi|223999453|ref|XP_002289399.1|,gi|220974607|gb|EED92936.1|	predicted protein, partial [Thalassiosira pseudonana CCMP1335]	0.517	19	6.82e-4	9	9	803
gi|223999747|ref|XP_002289546.1|,gi|220974754|gb|EED93083.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.227	19	4.60e-4	4	4	804
gi|224003855|ref|XP_002291599.1|,gi|220973375|gb|EED91706.1|	ATP phosphoribosyltransferase [Thalassiosira pseudonana CCMP1335]	0.254	19	2.72e-4	10	10	805
gi|224006540|ref|XP_002292230.1|,gi|220971872|gb|EED90205.1|	eukaryotic translation initiation factor 2 alpha subunit [Thalassiosira pseudonana CCMP1335]	0.438	19	2.34e-4	11	11	806
gi|224008404|ref|XP_002293161.1|,gi|220971287|gb|EED89622.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.282	19	1.94e-4	8	8	807
gi|224009007|ref|XP_002293462.1|,gi|220970862|gb|EED89198.1|	receptor mediated endocytosis protein-like protein [Thalassiosira pseudonana CCMP1335]	0.303	19	1.43e-4	11	11	808
gi|224010355|ref|XP_002294135.1|,gi|220970152|gb|EED88490.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.333	19	1.54e-4	10	10	809
gi|224010431|ref|XP_002294173.1|,gi|220970190|gb|EED88528.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.421	19	4.63e-4	6	6	810
gi|224013722|ref|XP_002296525.1|,gi|220968877|gb|EED87221.1|	hypothetical protein THAPSDRAFT_269557 [Thalassiosira pseudonana CCMP1335]	0.457	19	3.09e-4	10	10	811
gi|224015173|ref|XP_002297246.1|,gi|220968100|gb|EED86453.1|	predicted protein, partial [Thalassiosira pseudonana CCMP1335]	0.274	19	1.97e-4	11	11	812
gi|125987541|sp|A0T0Y0.1|RK16_THAPS,gi|2050584522|gb|QWM93063.1|,gi|116739945|gb|ABK20815.1|,gi|118411198|ref|YP_874592.1|	RecName: Full=Large ribosomal subunit protein uL16c; AltName: Full=50S ribosomal protein L16, chloroplastic,ribosomal protein L16 (chloroplast) [Thalassiosira pseudonana],50S ribosomal protein L16 (chloroplast) [Thalassiosira pseudonana]	0.584	18	5.47e-4	7	7	813
gi|220967779|gb|EED86155.1|,gi|125987659|sp|A0T0Q9.1|RPOC2_THAPS,gi|116739874|gb|ABK20744.1|,gi|118411127|ref|YP_874521.1|,gi|2050584452|gb|QWM92993.1|,gi|224015734|ref|XP_002297515.1|	plastid RNA polymerase beta subunit, plastid-encoded [Thalassiosira pseudonana CCMP1335],RecName: Full=DNA-directed RNA polymerase subunit beta''; AltName: Full=PEP; AltName: Full=Plastid-encoded RNA polymerase subunit beta''; Short=RNA polymerase subunit beta'',DNA-directed RNA polymerase beta' chain (chloroplast) [Thalassiosira pseudonana],RNA polymerase beta'' subunit (chloroplast) [Thalassiosira pseudonana]	0.117	18	5.18e-5	12	11	814
gi|220967802|gb|EED86178.1|,gi|125987698|sp|A0T0R4.1|RR18_THAPS,gi|116739879|gb|ABK20749.1|,gi|2050584447|gb|QWM92988.1|,gi|118411132|ref|YP_874526.1|,gi|224015780|ref|XP_002297538.1|	RR18, ribosomal protein 18 30S small ribosomal subunit, chloroplast, translation, protein biosynthesis [Thalassiosira pseudonana CCMP1335],RecName: Full=Small ribosomal subunit protein bS18c; AltName: Full=30S ribosomal protein S18, chloroplastic,30S ribosomal protein S18 (chloroplast) [Thalassiosira pseudonana],ribosomal protein S18 (chloroplast) [Thalassiosira pseudonana]	0.708	18	0.001	6	6	815
gi|220972121|gb|EED90454.1|,gi|224007038|ref|XP_002292479.1|	tubulin beta [Thalassiosira pseudonana CCMP1335]	0.065	18	1.69e-4	7	0	816
gi|220973244|gb|EED91575.1|,gi|224003593|ref|XP_002291468.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.267	18	2.67e-4	5	5	817
gi|220974108|gb|EED92438.1|,gi|224002028|ref|XP_002290686.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.317	18	2.56e-4	8	8	818
gi|220974982|gb|EED93311.1|,gi|224000203|ref|XP_002289774.1|	hypothetical protein THAPSDRAFT_22248 [Thalassiosira pseudonana CCMP1335]	0.181	18	9.90e-5	9	9	819
gi|223993573|ref|XP_002286470.1|,gi|220977785|gb|EED96111.1|	predicted protein, partial [Thalassiosira pseudonana CCMP1335]	0.536	18	0.001	7	7	820
gi|223993693|ref|XP_002286530.1|,gi|220977845|gb|EED96171.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.423	18	3.49e-4	6	6	821
gi|223994305|ref|XP_002286836.1|,gi|220978151|gb|EED96477.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.365	18	2.60e-4	7	7	822
gi|223995669|ref|XP_002287508.1|,gi|220976624|gb|EED94951.1|	atp-dependent RNA DEAD/DEAH box helicase [Thalassiosira pseudonana CCMP1335]	0.281	18	1.80e-4	10	10	823
gi|223995885|ref|XP_002287616.1|,gi|220976732|gb|EED95059.1|	RL38, ribosomal protein 38 60S large ribosomal subunit [Thalassiosira pseudonana CCMP1335]	0.493	18	0.001	4	4	824
gi|223996365|ref|XP_002287856.1|,gi|220976972|gb|EED95299.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.208	18	2.26e-4	7	7	825
gi|223997468|ref|XP_002288407.1|,gi|220975515|gb|EED93843.1|	phospholipase, partial [Thalassiosira pseudonana CCMP1335]	0.184	18	9.77e-5	9	9	826
gi|223997690|ref|XP_002288518.1|,gi|220975626|gb|EED93954.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.310	18	2.26e-4	9	9	827
gi|223998354|ref|XP_002288850.1|,gi|220975958|gb|EED94286.1|	coatomer protein subunit epsilon [Thalassiosira pseudonana CCMP1335]	0.389	18	2.47e-4	8	7	828
gi|223998368|ref|XP_002288857.1|,gi|220975965|gb|EED94293.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.237	18	2.00e-4	8	8	829
gi|224000768|ref|XP_002290056.1|,gi|220973478|gb|EED91808.1|	3-oxoacyl-synthase [Thalassiosira pseudonana CCMP1335]	0.299	18	1.61e-4	12	12	830
gi|224001868|ref|XP_002290606.1|,gi|220974028|gb|EED92358.1|	hypothetical protein THAPSDRAFT_34227, partial [Thalassiosira pseudonana CCMP1335]	0.182	18	1.77e-4	6	6	831
gi|224002915|ref|XP_002291129.1|,gi|220972905|gb|EED91236.1|	t-complex protein 1 [Thalassiosira pseudonana CCMP1335]	0.291	18	1.37e-4	12	12	832
gi|224003497|ref|XP_002291420.1|,gi|220973196|gb|EED91527.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.263	18	2.09e-4	8	8	833
gi|224005296|ref|XP_002296299.1|,gi|209586331|gb|ACI65016.1|	bifunctional aspartokinase/homoserine dehydrogenase [Thalassiosira pseudonana CCMP1335]	0.121	18	8.01e-5	9	9	834
gi|224006095|ref|XP_002292008.1|,gi|220972527|gb|EED90859.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.546	18	6.94e-4	7	7	835
gi|224007571|ref|XP_002292745.1|,gi|220971607|gb|EED89941.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.398	18	3.39e-4	7	7	836
gi|224007809|ref|XP_002292864.1|,gi|220971726|gb|EED90060.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.372	18	2.09e-4	10	10	837
gi|224009930|ref|XP_002293923.1|,gi|220970595|gb|EED88932.1|	hypothetical protein THAPSDRAFT_264157, partial [Thalassiosira pseudonana CCMP1335]	0.545	18	5.68e-4	7	7	838
gi|224012849|ref|XP_002295077.1|,gi|220969516|gb|EED87857.1|	gdp-fucose synthetase [Thalassiosira pseudonana CCMP1335]	0.278	18	2.31e-4	8	8	839
gi|224013265|ref|XP_002295284.1|,gi|220969007|gb|EED87350.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.328	18	3.78e-4	8	6	840
gi|27769210|gb|AAH42174.1|	(CONTAMINANT) Keratin 4 [Homo sapiens]	0.067	18	1.40e-4	4	1	841
gi|209586369|gb|ACI65054.1|,gi|224005372|ref|XP_002296337.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.218	17	1.56e-4	7	7	842
gi|220970334|gb|EED88672.1|,gi|224010719|ref|XP_002294317.1|	predicted protein, partial [Thalassiosira pseudonana CCMP1335]	0.176	17	1.01e-4	11	11	843
gi|220971218|gb|EED89553.1|,gi|224008266|ref|XP_002293092.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.197	17	1.39e-4	7	1	844
gi|220971780|gb|EED90114.1|,gi|224007917|ref|XP_002292918.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.254	17	4.09e-4	4	4	845
gi|220971958|gb|EED90291.1|,gi|224006712|ref|XP_002292316.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.211	17	9.11e-5	12	12	846
gi|220972861|gb|EED91192.1|,gi|224002827|ref|XP_002291085.1|	hypothetical protein THAPSDRAFT_262874, partial [Thalassiosira pseudonana CCMP1335]	0.135	17	5.50e-5	14	14	847
gi|220973152|gb|EED91483.1|,gi|224003409|ref|XP_002291376.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.276	17	6.10e-4	4	4	848
gi|220973755|gb|EED92085.1|,gi|224001322|ref|XP_002290333.1|	translation elongation factor-1-alpha [Thalassiosira pseudonana CCMP1335]	0.277	17	1.51e-4	11	11	849
gi|220973938|gb|EED92268.1|,gi|224001688|ref|XP_002290516.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.244	17	1.59e-4	10	10	850
gi|220974067|gb|EED92397.1|,gi|224001946|ref|XP_002290645.1|	mitochondrial manganese superoxide dismutase [Thalassiosira pseudonana CCMP1335]	0.290	17	2.94e-4	8	8	851
gi|220974259|gb|EED92589.1|,gi|224002330|ref|XP_002290837.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.032	17	2.12e-5	7	7	852
gi|220977613|gb|EED95939.1|,gi|223993229|ref|XP_002286298.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.439	17	2.70e-4	10	10	853
gi|223995243|ref|XP_002287305.1|,gi|220976421|gb|EED94748.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.221	17	2.56e-4	5	5	854
gi|223995835|ref|XP_002287591.1|,gi|220976707|gb|EED95034.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.394	17	2.63e-4	10	10	855
gi|223997030|ref|XP_002288188.1|,gi|220975296|gb|EED93624.1|	rieske iron-sulfur protein 1, partial [Thalassiosira pseudonana CCMP1335]	0.185	17	4.21e-4	4	4	856
gi|223997234|ref|XP_002288290.1|,gi|220975398|gb|EED93726.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.223	17	1.64e-4	9	9	857
gi|223998282|ref|XP_002288814.1|,gi|220975922|gb|EED94250.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.414	17	2.22e-4	11	11	858
gi|223998300|ref|XP_002288823.1|,gi|220975931|gb|EED94259.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.379	17	5.05e-4	4	4	859
gi|223999541|ref|XP_002289443.1|,gi|220974651|gb|EED92980.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.410	17	3.34e-4	8	8	860
gi|224000037|ref|XP_002289691.1|,gi|220974899|gb|EED93228.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.235	17	1.54e-4	7	7	861
gi|224000810|ref|XP_002290077.1|,gi|220973499|gb|EED91829.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.426	17	3.39e-4	8	8	862
gi|224000962|ref|XP_002290153.1|,gi|220973575|gb|EED91905.1|	SAR DNA-binding protein [Thalassiosira pseudonana CCMP1335]	0.329	17	1.62e-4	11	11	863
gi|224001494|ref|XP_002290419.1|,gi|220973841|gb|EED92171.1|	histone H2A, partial [Thalassiosira pseudonana CCMP1335]	0.368	17	5.66e-4	4	1	864
gi|224001814|ref|XP_002290579.1|,gi|220974001|gb|EED92331.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.146	17	1.09e-4	8	8	865
gi|224002989|ref|XP_002291166.1|,gi|220972942|gb|EED91273.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.154	17	1.35e-4	8	8	866
gi|224005126|ref|XP_002296214.1|,gi|209586246|gb|ACI64931.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.148	17	9.32e-5	9	9	867
gi|224009075|ref|XP_002293496.1|,gi|220970896|gb|EED89232.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.341	17	2.01e-4	8	8	868
gi|224009530|ref|XP_002293723.1|,gi|220970395|gb|EED88732.1|	sterol-c-methyltransferase [Thalassiosira pseudonana CCMP1335]	0.282	17	2.08e-4	11	11	869
gi|224009560|ref|XP_002293738.1|,gi|220970410|gb|EED88747.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.228	17	1.17e-4	12	12	870
gi|224010078|ref|XP_002293997.1|,gi|220970669|gb|EED89006.1|	succinate dehydrogenase flavoprotein subunit [Thalassiosira pseudonana CCMP1335]	0.217	17	1.11e-4	10	10	871
gi|224012449|ref|XP_002294877.1|,gi|220969316|gb|EED87657.1|	proteasome subunit alpha type 2 [Thalassiosira pseudonana CCMP1335]	0.523	17	2.99e-4	8	8	872
AAZ27611.1,sp|Q47UW3.1|EFG2_COLP3,WP_011045490.1	translation elongation factor G [Colwellia psychrerythraea 34H],RecName: Full=Elongation factor G 2; Short=EF-G 2,MULTISPECIES: elongation factor G [Colwellia]	0.067	16	9.53e-5	3	1	873
gi|2050584450|gb|QWM92991.1|	beta subunit of RNA polymerase (chloroplast) [Thalassiosira pseudonana]	0.081	16	4.80e-5	9	1	874
gi|116739876|gb|ABK20746.1|,gi|118411129|ref|YP_874523.1|,gi|125987645|sp|A0T0R1.1|RPOB_THAPS	DNA-directed RNA polymerase beta chain (chloroplast) [Thalassiosira pseudonana],RNA polymerase beta subunit (chloroplast) [Thalassiosira pseudonana],RecName: Full=DNA-directed RNA polymerase subunit beta; AltName: Full=PEP; AltName: Full=Plastid-encoded RNA polymerase subunit beta; Short=RNA polymerase subunit beta	0.081	16	4.81e-5	9	1	874
gi|209586015|gb|ACI64700.1|,gi|224004664|ref|XP_002295983.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.202	16	2.32e-4	5	5	875
gi|209586040|gb|ACI64725.1|,gi|224004714|ref|XP_002296008.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.084	16	6.54e-5	7	6	876
gi|220967825|gb|EED86199.1|,gi|224015700|ref|XP_002297499.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.280	16	1.14e-4	9	9	877
gi|220969324|gb|EED87665.1|,gi|224012465|ref|XP_002294885.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.277	16	2.03e-4	9	9	878
gi|220970059|gb|EED88397.1|,gi|224010169|ref|XP_002294042.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.282	16	1.88e-4	8	8	879
gi|220970707|gb|EED89043.1|,gi|224008697|ref|XP_002293307.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.280	16	5.05e-4	6	6	880
gi|220971449|gb|EED89783.1|,gi|224007255|ref|XP_002292587.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.203	16	1.30e-4	6	6	881
gi|220974143|gb|EED92473.1|,gi|224002098|ref|XP_002290721.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.333	16	1.80e-4	9	9	882
gi|220974494|gb|EED92823.1|,gi|223999227|ref|XP_002289286.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.150	16	1.61e-4	4	4	883
gi|220974510|gb|EED92839.1|,gi|223999259|ref|XP_002289302.1|	eukaryotic peptide chain release factor subunit 1 [Thalassiosira pseudonana CCMP1335]	0.170	16	1.45e-4	6	6	884
gi|220975325|gb|EED93653.1|,gi|223997088|ref|XP_002288217.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.241	16	8.96e-5	11	11	885
gi|220975488|gb|EED93816.1|,gi|223997414|ref|XP_002288380.1|	predicted protein, partial [Thalassiosira pseudonana CCMP1335]	0.317	16	2.64e-4	7	7	886
gi|220976039|gb|EED94367.1|,gi|223998516|ref|XP_002288931.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.244	16	1.22e-4	9	9	887
gi|220977491|gb|EED95817.1|,gi|223992985|ref|XP_002286176.1|	6-phosphofructokinase, partial [Thalassiosira pseudonana CCMP1335]	0.231	16	1.69e-4	7	7	888
gi|220978105|gb|EED96431.1|,gi|223994213|ref|XP_002286790.1|	predicted protein, partial [Thalassiosira pseudonana CCMP1335]	0.476	16	3.49e-4	8	8	889
gi|220978140|gb|EED96466.1|,gi|223994283|ref|XP_002286825.1|	cysteinyl-trna synthetase [Thalassiosira pseudonana CCMP1335]	0.191	16	8.25e-5	11	11	890
gi|223993269|ref|XP_002286318.1|,gi|220977633|gb|EED95959.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.103	16	7.87e-5	7	7	891
gi|223993307|ref|XP_002286337.1|,gi|220977652|gb|EED95978.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.237	16	1.83e-4	7	7	892
gi|223994031|ref|XP_002286699.1|,gi|220978014|gb|EED96340.1|	hypothetical protein THAPSDRAFT_260862, partial [Thalassiosira pseudonana CCMP1335]	0.237	16	3.94e-4	4	4	893
gi|223995117|ref|XP_002287242.1|,gi|220976358|gb|EED94685.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.315	16	2.10e-4	8	8	894
gi|223995577|ref|XP_002287462.1|,gi|220976578|gb|EED94905.1|	thioredoxin f [Thalassiosira pseudonana CCMP1335]	0.514	16	4.63e-4	6	6	895
gi|223998258|ref|XP_002288802.1|,gi|220975910|gb|EED94238.1|	nitrate transporter [Thalassiosira pseudonana CCMP1335]	0.112	16	1.38e-4	7	4	896
gi|223998466|ref|XP_002288906.1|,gi|220976014|gb|EED94342.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.137	16	8.17e-5	9	9	897
gi|223999711|ref|XP_002289528.1|,gi|220974736|gb|EED93065.1|	fumarate hydratase [Thalassiosira pseudonana CCMP1335]	0.216	16	1.06e-4	9	9	898
gi|224000193|ref|XP_002289769.1|,gi|220974977|gb|EED93306.1|	RL11A, ribosomal protein 11A 60S large ribosomal subunit [Thalassiosira pseudonana CCMP1335]	0.226	16	3.76e-4	5	4	899
gi|224000609|ref|XP_002289977.1|,gi|220975185|gb|EED93514.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.101	16	9.38e-5	7	4	900
